Date,PositionQty,Price,Balance,PositionValue,PositionRatio,Side
2021-01-10,44222,40291.50,8.48739545,1.09755159,0.1293,Long
2021-01-11,-251110,38225.00,8.61952320,6.56926095,-0.7621,Short
2021-01-12,232215,35390.00,8.53309740,6.56159932,0.7690,Long
2021-01-13,697277,34026.00,9.64056175,20.49247634,2.1257,Long
2021-01-14,-162592,37390.50,9.90524515,4.34848424,-0.4390,Short
2021-01-15,-887787,39143.50,11.53233672,22.68031729,-1.9667,Short
2021-01-16,293190,36734.50,12.04113896,7.98132546,0.6628,Long
2021-01-17,305779,36007.00,14.84326506,8.49220985,0.5721,Long
2021-01-18,0,35870.00,13.63529267,0.00000000,0.0000,Flat
2021-01-19,-127775,36684.50,13.66606953,3.48307868,-0.2549,Short
2021-01-20,-641104,35898.00,13.77337361,17.85904507,-1.2966,Short
2021-01-21,-48410,35489.00,15.13227370,1.36408465,-0.0901,Short
2021-01-22,487134,30810.50,16.77874092,15.81064897,0.9423,Long
2021-01-23,888875,33003.00,18.65358006,26.93315759,1.4439,Long
2021-01-24,1026650,32090.00,18.63158413,31.99283266,1.7171,Long
2021-01-25,1362215,32290.50,19.80888354,42.18624673,2.1297,Long
2021-01-26,1833330,32221.00,24.24708527,56.89860650,2.3466,Long
2021-01-27,-619139,32500.00,20.99836816,19.05043077,-0.9072,Short
2021-01-28,-572650,30381.00,20.60010436,18.84895165,-0.9150,Short
2021-01-29,79352,33446.00,20.58219451,2.37254081,0.1153,Long
2021-01-30,1222216,34230.00,26.42453089,35.70598890,1.3512,Long
2021-01-31,1199966,34310.50,28.01666844,34.97372524,1.2483,Long
2021-02-01,0,33101.00,29.32838083,0.00000000,0.0000,Flat
2021-02-02,211818,33550.50,30.47397170,6.31340815,0.2072,Long
2021-02-03,99995,35544.50,31.18795557,2.81323411,0.0902,Long
2021-02-04,2591857,37700.00,32.01292751,68.74952255,2.1476,Long
2021-02-05,-124444,37030.00,35.25272047,3.36062652,-0.0953,Short
2021-02-06,-1086546,38361.50,37.48468100,28.32386638,-0.7556,Short
2021-02-07,-94338,39318.50,37.87441653,2.39932856,-0.0633,Short
2021-02-08,857504,38900.50,36.52981652,22.04352129,0.6034,Long
2021-02-09,571511,46417.50,38.12047768,12.31240373,0.3230,Long
2021-02-10,932619,46513.50,39.82825308,20.05050147,0.5034,Long
2021-02-11,1379918,44888.00,40.77011601,30.74135626,0.7540,Long
2021-02-12,1708647,48082.00,40.56319732,35.53610499,0.8761,Long
2021-02-13,2072448,47485.00,40.53111062,43.64426661,1.0768,Long
2021-02-14,-1011444,47265.50,44.88051116,21.39920238,-0.4768,Short
2021-02-15,1880082,48690.50,46.61781820,38.61291217,0.8283,Long
2021-02-16,1729447,48018.50,46.16857302,36.01626456,0.7801,Long
2021-02-17,1575902,49199.50,46.30275015,32.03085397,0.6918,Long
2021-02-18,2529013,52209.50,45.86362609,48.43970925,1.0562,Long
2021-02-19,2529013,51613.00,45.71501003,48.99953500,1.0718,Long
2021-02-20,1857479,55934.00,45.72114718,33.20840634,0.7263,Long
2021-02-21,1396844,55934.50,47.87524816,24.97285218,0.5216,Long
2021-02-22,1056209,57542.50,48.84088900,18.35528522,0.3758,Long
2021-02-23,433465,54122.50,50.58373909,8.00896115,0.1583,Long
2021-02-24,1328804,48923.50,51.59439409,27.16085317,0.5264,Long
2021-02-25,1031022,49691.00,55.12591130,20.74866676,0.3764,Long
2021-02-26,2815461,47110.00,55.18767162,59.76355339,1.0829,Long
2021-02-27,275472,46320.00,54.07498315,5.94715026,0.1100,Long
2021-02-28,155554,46171.50,54.05039980,3.36904801,0.0623,Long
2021-03-01,488884,45211.00,54.03488391,10.81338612,0.2001,Long
2021-03-02,186250,49664.50,53.99571755,3.75016360,0.0695,Long
2021-03-03,316701,48483.50,55.83344444,6.53213980,0.1170,Long
2021-03-04,-50000,50346.00,56.68081306,0.99312756,-0.0175,Short
2021-03-05,322221,48333.00,56.97209143,6.66668736,0.1170,Long
2021-03-06,653332,48768.50,56.65882468,13.39659821,0.2364,Long
2021-03-07,949996,48904.50,56.80208667,19.42553344,0.3420,Long
2021-03-08,1396660,51027.00,56.75759857,27.37099967,0.4822,Long
2021-03-09,696664,52480.00,56.84400760,13.27484756,0.2335,Long
2021-03-10,405552,54960.00,58.28074301,7.37903930,0.1266,Long
2021-03-11,73332,55975.50,59.29745046,1.31007316,0.0221,Long
2021-03-12,1189984,57909.50,59.46180714,20.54902909,0.3456,Long
2021-03-13,1299982,57315.00,59.41010343,22.68135741,0.3818,Long
2021-03-14,1483312,61280.50,58.85769468,24.20528553,0.4113,Long
2021-03-15,1629976,59029.00,58.71967476,27.61313930,0.4703,Long
2021-03-16,3577739,55627.50,58.56043950,64.31601276,1.0983,Long
2021-03-17,3111073,57009.50,58.47162276,54.57113288,0.9333,Long
2021-03-18,2814405,59015.50,58.66305468,47.68925113,0.8129,Long
2021-03-19,6352169,57620.00,59.67110945,110.24243318,1.8475,Long
2021-03-20,4951179,58073.50,59.58321854,85.25711383,1.4309,Long
2021-03-21,4588957,58146.50,59.63651695,78.92060571,1.3234,Long
2021-03-22,5433611,57421.50,58.43623843,94.62676872,1.6193,Long
2021-03-23,-775726,54090.00,57.83142568,14.34139397,-0.2480,Short
2021-03-24,-232392,54394.00,56.23507940,4.27238298,-0.0760,Short
2021-03-25,487453,52244.50,56.99996078,9.33022615,0.1637,Long
2021-03-26,117776,51321.50,54.16594768,2.29486667,0.0424,Long
2021-03-27,-44444,55081.50,54.45254450,0.80687708,-0.0148,Short
2021-03-28,-354946,55869.50,53.98905575,6.35312648,-0.1177,Short
2021-03-29,2924846,55788.50,53.80865770,52.42739991,0.9743,Long
2021-03-30,1959084,57680.50,54.14216872,33.96440738,0.6273,Long
2021-03-31,1521308,58812.00,54.67927081,25.86730599,0.4731,Long
2021-04-01,1739065,58876.00,55.18275205,29.53775732,0.5353,Long
2021-04-02,1725731,58806.00,55.59398213,29.34617216,0.5279,Long
2021-04-03,3058646,59020.00,55.80396120,51.82389021,0.9287,Long
2021-04-04,3562433,57126.50,51.30415761,62.36042817,1.2155,Long
2021-04-05,3331323,58258.00,51.90759392,57.18224107,1.1016,Long
2021-04-06,2564667,59330.00,52.40930254,43.22715321,0.8248,Long
2021-04-07,3297997,58064.00,53.83627958,56.79934211,1.0550,Long
2021-04-08,2520225,55937.50,54.48351859,45.05430168,0.8269,Long
2021-04-09,2068487,58149.00,54.33185877,35.57218525,0.6547,Long
2021-04-10,3335147,58123.00,54.32709195,57.38084751,1.0562,Long
2021-04-11,3835145,59790.50,54.17201967,64.14304948,1.1841,Long
2021-04-12,3835145,60076.00,55.17595552,63.83822159,1.1570,Long
2021-04-13,3835145,59880.50,54.71663891,64.04664290,1.1705,Long
2021-04-14,3835145,63674.00,54.25458831,60.23094199,1.1102,Long
2021-04-15,3835145,63071.50,54.46698432,60.80630713,1.1164,Long
2021-04-16,3835145,63323.50,58.47548000,60.56432446,1.0357,Long
2021-04-17,4901801,61470.00,60.08483608,79.74298032,1.3272,Long
2021-04-18,3968467,60114.50,60.93396245,66.01513778,1.0834,Long
2021-04-19,5797023,56258.50,61.29861754,103.04261578,1.6810,Long
2021-04-20,5446827,55705.50,60.72660763,97.77898053,1.6102,Long
2021-04-21,5819000,56513.50,56.98163234,102.96654782,1.8070,Long
2021-04-22,6152333,53828.50,56.70888631,114.29508532,2.0155,Long
2021-04-23,5818801,51719.50,57.80592976,112.50690745,1.9463,Long
2021-04-24,2250609,51137.50,45.58280091,44.01093131,0.9655,Long
2021-04-25,3761971,50120.00,44.07643467,75.05927773,1.7029,Long
2021-04-26,-288885,49080.00,38.84666349,5.88600244,-0.1515,Short
2021-04-27,3833905,54025.00,39.92732497,70.96538640,1.7774,Long
2021-04-28,2189467,55050.50,42.61125256,39.77197301,0.9334,Long
2021-04-29,925123,54869.50,44.56121031,16.86042337,0.3784,Long
2021-04-30,1658451,53524.00,45.58406220,30.98518422,0.6797,Long
2021-05-01,1366502,57748.50,44.40682192,23.66298692,0.5329,Long
2021-05-02,1146500,57874.50,46.02230920,19.81010635,0.4304,Long
2021-05-03,2226488,56641.50,45.78145448,39.30842227,0.8586,Long
2021-05-04,2593152,57191.50,46.06423810,45.34156299,0.9843,Long
2021-05-05,3618053,53262.50,47.11345138,67.92871157,1.4418,Long
2021-05-06,1818057,57553.50,47.58652077,31.58899111,0.6638,Long
2021-05-07,3451378,56417.00,49.24307302,61.17620575,1.2423,Long
2021-05-08,3584710,57422.00,49.66317682,62.42746682,1.2570,Long
2021-05-09,3117946,59000.00,50.12446532,52.84654237,1.0543,Long
2021-05-10,3651576,58299.50,50.33411652,62.63477388,1.2444,Long
2021-05-11,2132360,55912.50,50.29609354,38.13744690,0.7583,Long
2021-05-12,2065688,56764.00,49.54877706,36.39081108,0.7344,Long
2021-05-13,0,49493.00,50.21545764,0.00000000,0.0000,Flat
2021-05-14,4222222,49700.00,37.65834847,84.95416499,2.2559,Long
2021-05-15,1311113,49888.00,32.68915660,26.28112973,0.8040,Long
2021-05-16,440000,46757.00,32.33747077,9.41035567,0.2910,Long
2021-05-17,0,46436.00,32.59271801,0.00000000,0.0000,Flat
2021-05-18,-1633487,43582.00,31.99714848,37.48077188,-1.1714,Short
2021-05-19,-1144774,42854.50,32.53402864,26.71304064,-0.8211,Short
2021-05-20,139998,36811.00,36.31921978,3.80315667,0.1047,Long
2021-05-21,-133332,40620.50,34.98503248,3.28238205,-0.0938,Short
2021-05-22,2555543,37301.00,46.77345896,68.51138039,1.4647,Long
2021-05-23,-266664,37446.50,49.94931005,7.12119958,-0.1426,Short
2021-05-24,1422209,34711.00,54.73264543,40.97286163,0.7486,Long
2021-05-25,1088881,38842.50,55.91866154,28.03323679,0.5013,Long
2021-05-26,2122209,38379.50,59.21581500,55.29537904,0.9338,Long
